Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_010784644.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,201,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784645.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,312,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784646.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,316,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784647.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,198,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784648.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,285,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784649.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,336,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784650.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,192,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784651.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,322,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784652.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,324,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784653.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,228,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784654.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,305,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784655.1,replication-associated protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,332,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784656.1,putative ORF3 protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,224,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784657.1,capsid protein,Giant panda associated gemycircularvirus,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae,,,324,China,China,,feces,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2015,2023-05-04,ssDNA
YP_010784658.1,capsid,Lupine feces-associated gemycircularvirus 2,Gemycircularvirus canlup1,Gemycircularvirus,Genomoviridae,,South Douro,308,Portugal,Portugal,Canis lupus signatus,,"Conceicao-Neto,N., Godinho,R., Alvares,F., Yinda,C.K., Deboutte,W., Zeller,M., Laenen,L., Heylen,E., Roque,S., Petrucci-Fonseca,F., Santos,N., Van Ranst,M., Mesquita,J.R., Matthijnssens,J.",2011,2023-05-04,ssDNA
YP_010784659.1,Rep,Lupine feces-associated gemycircularvirus 2,Gemycircularvirus canlup1,Gemycircularvirus,Genomoviridae,,South Douro,335,Portugal,Portugal,Canis lupus signatus,,"Conceicao-Neto,N., Godinho,R., Alvares,F., Yinda,C.K., Deboutte,W., Zeller,M., Laenen,L., Heylen,E., Roque,S., Petrucci-Fonseca,F., Santos,N., Van Ranst,M., Mesquita,J.R., Matthijnssens,J.",2011,2023-05-04,ssDNA
YP_010784660.1,capsid,Canine feces-associated gemycircularvirus,Gemykibivirus canfam1,Gemykibivirus,Genomoviridae,,South Douro,302,Portugal,Portugal,Canis lupus familiaris,,"Conceicao-Neto,N., Godinho,R., Alvares,F., Yinda,C.K., Deboutte,W., Zeller,M., Laenen,L., Heylen,E., Roque,S., Petrucci-Fonseca,F., Santos,N., Van Ranst,M., Mesquita,J.R., Matthijnssens,J.",2011,2023-05-04,ssDNA
YP_010784661.1,replicase,Canine feces-associated gemycircularvirus,Gemykibivirus canfam1,Gemykibivirus,Genomoviridae,,South Douro,321,Portugal,Portugal,Canis lupus familiaris,,"Conceicao-Neto,N., Godinho,R., Alvares,F., Yinda,C.K., Deboutte,W., Zeller,M., Laenen,L., Heylen,E., Roque,S., Petrucci-Fonseca,F., Santos,N., Van Ranst,M., Mesquita,J.R., Matthijnssens,J.",2011,2023-05-04,ssDNA
YP_010797896.1,capsid protein,Olive associated gemycircularvirus 1,Gemycircularvirus oltre1,Gemycircularvirus,Genomoviridae,,L1,314,Italy,Italy,Olea europaea,,"Chiumenti,M., Greco,C., Antelmi,I., Sion,V., Altamura,G., Nigro,F., Saldarelli,P.",2015,2023-05-04,ssDNA
YP_010797897.1,Rep2,Olive associated gemycircularvirus 1,Gemycircularvirus oltre1,Gemycircularvirus,Genomoviridae,,L1,126,Italy,Italy,Olea europaea,,"Chiumenti,M., Greco,C., Antelmi,I., Sion,V., Altamura,G., Nigro,F., Saldarelli,P.",2015,2023-05-04,ssDNA
YP_010797898.1,Rep1,Olive associated gemycircularvirus 1,Gemycircularvirus oltre1,Gemycircularvirus,Genomoviridae,,L1,199,Italy,Italy,Olea europaea,,"Chiumenti,M., Greco,C., Antelmi,I., Sion,V., Altamura,G., Nigro,F., Saldarelli,P.",2015,2023-05-04,ssDNA
YP_010797982.1,capsid protein,Plant associated genomovirus 1,Gemygorvirus poaspe1,Gemygorvirus,Genomoviridae,,206_BA536,317,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797983.1,Replication-associated protein,Plant associated genomovirus 1,Gemygorvirus poaspe1,Gemygorvirus,Genomoviridae,,206_BA536,321,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797984.1,capsid protein,Plant associated genomovirus 2,Gemykibivirus planta1,Gemykibivirus,Genomoviridae,,277_BA530,296,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797985.1,Replication-associated protein,Plant associated genomovirus 2,Gemykibivirus planta1,Gemykibivirus,Genomoviridae,,277_BA530,327,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797986.1,capsid protein,Plant associated genomovirus 4,Gemyduguivirus macra1,Gemyduguivirus,Genomoviridae,,929_OP4_567,290,Brazil,Brazil,Macroptilium,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797987.1,Replication-associated protein,Plant associated genomovirus 4,Gemyduguivirus macra1,Gemyduguivirus,Genomoviridae,,929_OP4_567,315,Brazil,Brazil,Macroptilium,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797988.1,capsid protein,Plant associated genomovirus 7,Gemykolovirus heris1,Gemykolovirus,Genomoviridae,,1409_BA530,309,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797989.1,Replication-associated protein,Plant associated genomovirus 7,Gemykolovirus heris1,Gemykolovirus,Genomoviridae,,1409_BA530,334,Brazil,Brazil,Poaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2015,2023-05-04,ssDNA
YP_010797990.1,capsid protein,Plant associated genomovirus 15,Gemycircularvirus legle1,Gemycircularvirus,Genomoviridae,,1773_PE_35,282,Brazil,Brazil,Phaseolus lunatus,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2008,2023-05-04,ssDNA
YP_010797991.1,Replication-associated protein,Plant associated genomovirus 15,Gemycircularvirus legle1,Gemycircularvirus,Genomoviridae,,1773_PE_35,328,Brazil,Brazil,Phaseolus lunatus,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2008,2023-05-04,ssDNA
YP_010797992.1,capsid protein,Plant associated genomovirus 9,Gemykolovirus poaspe1,Gemykolovirus,Genomoviridae,,A97_GP1,305,South Africa,South Africa,Avena byzantina,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010797993.1,Replication-associated protein,Plant associated genomovirus 9,Gemykolovirus poaspe1,Gemykolovirus,Genomoviridae,,A97_GP1,333,South Africa,South Africa,Avena byzantina,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010797994.1,capsid protein,Plant associated genomovirus 11,Gemycircularvirus solas1,Gemycircularvirus,Genomoviridae,,AH_131,300,USA,USA,Solanaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2017,2023-05-04,ssDNA
YP_010797995.1,Replication-associated protein,Plant associated genomovirus 11,Gemycircularvirus solas1,Gemycircularvirus,Genomoviridae,,AH_131,330,USA,USA,Solanaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2017,2023-05-04,ssDNA
YP_010797996.1,capsid protein,Plant associated genomovirus 23,Gemykroznavirus solas1,Gemykroznavirus,Genomoviridae,,AH_2861,280,USA,USA,,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2017,2023-05-04,ssDNA
YP_010797997.1,Replication-associated protein,Plant associated genomovirus 23,Gemykroznavirus solas1,Gemykroznavirus,Genomoviridae,,AH_2861,314,USA,USA,,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2017,2023-05-04,ssDNA
YP_010797998.1,capsid protein,Plant associated genomovirus 17,Gemycircularvirus sarpe1,Gemycircularvirus,Genomoviridae,,D90_GP5,308,South Africa,South Africa,Salicornia perennis,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010797999.1,Replication-associated protein,Plant associated genomovirus 17,Gemycircularvirus sarpe1,Gemycircularvirus,Genomoviridae,,D90_GP5,327,South Africa,South Africa,Salicornia perennis,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798000.1,capsid protein,Plant associated genomovirus 5,Gemyduguivirus merre1,Gemyduguivirus,Genomoviridae,,GnPB1669_106,299,Brazil,Brazil,Apocynaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2008,2023-05-04,ssDNA
YP_010798001.1,Replication-associated protein,Plant associated genomovirus 5,Gemyduguivirus merre1,Gemyduguivirus,Genomoviridae,,GnPB1669_106,320,Brazil,Brazil,Apocynaceae,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2008,2023-05-04,ssDNA
YP_010798002.1,capsid protein,Plant associated genomovirus 13,Gemycircularvirus willde1,Gemycircularvirus,Genomoviridae,,QS2_F23,316,South Africa,South Africa,Willdenowia,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798003.1,Replication-associated protein,Plant associated genomovirus 13,Gemycircularvirus willde1,Gemycircularvirus,Genomoviridae,,QS2_F23,338,South Africa,South Africa,Willdenowia,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798004.1,capsid protein,Plant associated genomovirus 20,Gemycircularvirus lebec1,Gemycircularvirus,Genomoviridae,,QS9_F22,323,South Africa,South Africa,Lebeckia,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798005.1,Replication-associated protein,Plant associated genomovirus 20,Gemycircularvirus lebec1,Gemycircularvirus,Genomoviridae,,QS9_F22,337,South Africa,South Africa,Lebeckia,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798006.1,capsid protein,Plant associated genomovirus 24,Gemykroznavirus poaspe1,Gemykroznavirus,Genomoviridae,,QS29_F24,287,South Africa,South Africa,,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798007.1,Replication-associated protein,Plant associated genomovirus 24,Gemykroznavirus poaspe1,Gemykroznavirus,Genomoviridae,,QS29_F24,319,South Africa,South Africa,,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798008.1,capsid protein,Plant associated genomovirus 21,Gemycircularvirus aspar1,Gemycircularvirus,Genomoviridae,,QS30_F24,304,South Africa,South Africa,Asparagus,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798009.1,Replication-associated protein,Plant associated genomovirus 21,Gemycircularvirus aspar1,Gemycircularvirus,Genomoviridae,,QS30_F24,310,South Africa,South Africa,Asparagus,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798010.1,capsid protein,Plant associated genomovirus 3,Gemykibivirus cynas1,Gemykibivirus,Genomoviridae,,QS36_F24,310,South Africa,South Africa,Cynodon,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798011.1,Replication-associated protein,Plant associated genomovirus 3,Gemykibivirus cynas1,Gemykibivirus,Genomoviridae,,QS36_F24,348,South Africa,South Africa,Cynodon,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798012.1,capsid protein,Plant associated genomovirus 22,Gemycircularvirus trilo1,Gemycircularvirus,Genomoviridae,,QS46_F25,307,South Africa,South Africa,Hypochaeris,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798013.1,Replication-associated protein,Plant associated genomovirus 22,Gemycircularvirus trilo1,Gemycircularvirus,Genomoviridae,,QS46_F25,319,South Africa,South Africa,Hypochaeris,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798014.1,capsid protein,Plant associated genomovirus 19,Gemycircularvirus dichism1,Gemycircularvirus,Genomoviridae,,QS58_F27,311,South Africa,South Africa,Dischisma capitatum,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798015.1,Replication-associated protein,Plant associated genomovirus 19,Gemycircularvirus dichism1,Gemycircularvirus,Genomoviridae,,QS58_F27,330,South Africa,South Africa,Dischisma capitatum,plant leaf,"Richet,C., Kraberger,S., Filloux,D., Fontenele,R.S., Ribeiro,S.G., Martin,D.P., Lamas,N.S., McCarthy,J., Lefeuvre,P., Roumagnac,P., Varsani,A.",2012,2023-05-04,ssDNA
YP_010798016.1,capsid protein,Apis mellifera genomovirus 2,Gemykrogvirus apime1,Gemykrogvirus,Genomoviridae,,BNH_406,311,USA,USA,,,"Kraberger,S., Cook,C., Waits,K., Fontenele,R.S., Bautista,J., Smith,B., Varsani,A.",2018-02-01,2023-05-04,ssDNA
YP_010798017.1,replication associated protein,Apis mellifera genomovirus 2,Gemykrogvirus apime1,Gemykrogvirus,Genomoviridae,,BNH_406,330,USA,USA,,,"Kraberger,S., Cook,C., Waits,K., Fontenele,R.S., Bautista,J., Smith,B., Varsani,A.",2018-02-01,2023-05-04,ssDNA
YP_010798054.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb79,302,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798055.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb79,323,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798056.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce776,317,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798057.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce776,326,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798058.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbh39,312,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798059.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbh39,335,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798060.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctba85,299,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798061.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctba85,318,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
YP_010798062.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbh29,317,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2023-05-04,ssDNA
